Start training...
Start training...
Start training...
Start training...
Start training...
Start training...
Start training...
Iter[1] Batch[40] Train-rmse=0.528764
Iter[1] Batch[42] Train-rmse=0.528709
Iter[1] Batch[44] Train-rmse=0.528612
Iter[1] Batch[46] Train-rmse=0.528063
Iter[1] Batch[48] Train-rmse=0.527954
Iter[1] Batch[50] Train-rmse=0.527662
Iter[1] Batch[52] Train-rmse=0.527056
Iter[1] Batch[54] Train-rmse=0.527278
Iter[1] Batch[56] Train-rmse=0.527270
Iter[1] Batch[58] Train-rmse=0.527109
Iter[1] Batch[60] Train-rmse=0.527037
Iter[1] Batch[62] Train-rmse=0.527156
Iter[1] Batch[64] Train-rmse=0.527114
Iter[1] Batch[66] Train-rmse=0.527380
Iter[1] Batch[68] Train-rmse=0.527297
Iter[1] Batch[70] Train-rmse=0.527403
Iter[1] Batch[72] Train-rmse=0.527618
Iter[1] Batch[74] Train-rmse=0.527706
Iter[1] Batch[76] Train-rmse=0.527745
Iter[1] Batch[78] Train-rmse=0.527665
Iter[1] Batch[80] Train-rmse=0.527756
Iter[1] Batch[82] Train-rmse=0.527674
Iter[1] Batch[84] Train-rmse=0.527663
Iter[1] Batch[86] Train-rmse=0.527621
Iter[1] Batch[88] Train-rmse=0.527539
Iter[1] Batch[90] Train-rmse=0.527322
Iter[1] Batch[92] Train-rmse=0.527144
Iter[1] Batch[94] Train-rmse=0.527101
Iter[1] Batch[96] Train-rmse=0.527120
Iter[1] Batch[98] Train-rmse=0.527090
Iter[1] Batch[100] Train-rmse=0.527211
Iter[1] Batch[102] Train-rmse=0.527232
Iter[1] Batch[104] Train-rmse=0.527224
Iter[1] Batch[106] Train-rmse=0.527134
Iter[1] Batch[108] Train-rmse=0.527035
Iter[1] Batch[110] Train-rmse=0.526986
Iter[1] Batch[112] Train-rmse=0.526894
Iter[1] Batch[114] Train-rmse=0.526857
Iter[1] Batch[116] Train-rmse=0.526845
Iter[1] Batch[118] Train-rmse=0.526884
Iter[1] Batch[120] Train-rmse=0.526882
Iter[1] Batch[122] Train-rmse=0.526750
Iter[1] Batch[124] Train-rmse=0.526782
Iter[1] Batch[126] Train-rmse=0.526748
Iter[1] Batch[128] Train-rmse=0.526696
Iter[1] Batch[130] Train-rmse=0.526685
Iter[1] Batch[132] Train-rmse=0.526693
Iter[1] Batch[134] Train-rmse=0.526595
Iter[1] Batch[136] Train-rmse=0.526538
Iter[1] Batch[138] Train-rmse=0.526586
Iter[1] Batch[140] Train-rmse=0.526545
Iter[1] Batch[142] Train-rmse=0.526555
Iter[1] Batch[144] Train-rmse=0.526602
Iter[1] Batch[146] Train-rmse=0.526659
Iter[1] Batch[148] Train-rmse=0.526662
Iter[1] Batch[150] Train-rmse=0.526661
Iter[1] Batch[152] Train-rmse=0.526609
Iter[1] Batch[154] Train-rmse=0.526639
Iter[1] Batch[156] Train-rmse=0.526536
Iter[1] Batch[158] Train-rmse=0.526563
Iter[1] Batch[160] Train-rmse=0.526507
Iter[1] Batch[162] Train-rmse=0.526561
Iter[1] Batch[164] Train-rmse=0.526610
Iter[1] Batch[166] Train-rmse=0.526593
Iter[1] Batch[168] Train-rmse=0.526584
Iter[1] Batch[170] Train-rmse=0.526587
Iter[1] Batch[172] Train-rmse=0.526549
Iter[1] Batch[174] Train-rmse=0.526468
Iter[1] Batch[176] Train-rmse=0.526401
Iter[1] Batch[178] Train-rmse=0.526361
Iter[1] Batch[180] Train-rmse=0.526309
Iter[1] Batch[182] Train-rmse=0.526193
Iter[1] Batch[184] Train-rmse=0.526164
Iter[1] Batch[186] Train-rmse=0.526169
Iter[1] Batch[188] Train-rmse=0.526148
Iter[1] Batch[190] Train-rmse=0.526123
Iter[1] Batch[192] Train-rmse=0.526089
Iter[1] Batch[194] Train-rmse=0.526055
Iter[1] Batch[196] Train-rmse=0.526053
Iter[1] Batch[198] Train-rmse=0.526034
Epoch[1] Train-rmse=0.526034
Epoch[1] Time cost=1064.886
Saved checkpoint to "unet-0002.params"
Epoch[1] Validation-rmse=0.515039
Iter[2] Batch[0] Train-rmse=0.503706
Iter[2] Batch[2] Train-rmse=0.516930
Iter[2] Batch[4] Train-rmse=0.519042
Iter[2] Batch[6] Train-rmse=0.517991
Iter[2] Batch[8] Train-rmse=0.518087
Iter[2] Batch[10] Train-rmse=0.518749
Iter[2] Batch[12] Train-rmse=0.518528
Iter[2] Batch[14] Train-rmse=0.519575
Iter[2] Batch[16] Train-rmse=0.519915
Iter[2] Batch[18] Train-rmse=0.520567
Iter[2] Batch[20] Train-rmse=0.520905
Iter[2] Batch[22] Train-rmse=0.521009
Iter[2] Batch[24] Train-rmse=0.521062
Iter[2] Batch[26] Train-rmse=0.521136
Iter[2] Batch[28] Train-rmse=0.521412
Iter[2] Batch[30] Train-rmse=0.521421
Iter[2] Batch[32] Train-rmse=0.521157
Iter[2] Batch[34] Train-rmse=0.520815
Iter[2] Batch[36] Train-rmse=0.520893
Iter[2] Batch[38] Train-rmse=0.520899
Iter[2] Batch[40] Train-rmse=0.520977
Iter[2] Batch[42] Train-rmse=0.521143
Iter[2] Batch[44] Train-rmse=0.521060
Iter[2] Batch[46] Train-rmse=0.521213
Iter[2] Batch[48] Train-rmse=0.521039
Iter[2] Batch[50] Train-rmse=0.521013
Iter[2] Batch[52] Train-rmse=0.521317
Iter[2] Batch[54] Train-rmse=0.520936
Iter[2] Batch[56] Train-rmse=0.521116
Iter[2] Batch[58] Train-rmse=0.521122
Iter[2] Batch[60] Train-rmse=0.521172
Iter[2] Batch[62] Train-rmse=0.521195
Iter[2] Batch[64] Train-rmse=0.521173
Iter[2] Batch[66] Train-rmse=0.520988
Iter[2] Batch[68] Train-rmse=0.520991
Iter[2] Batch[70] Train-rmse=0.521167
Iter[2] Batch[72] Train-rmse=0.521194
Iter[2] Batch[74] Train-rmse=0.521143
Iter[2] Batch[76] Train-rmse=0.521159
Iter[2] Batch[78] Train-rmse=0.521045
Iter[2] Batch[80] Train-rmse=0.521057
Iter[2] Batch[82] Train-rmse=0.521075
Iter[2] Batch[84] Train-rmse=0.521096
Iter[2] Batch[86] Train-rmse=0.521107
Iter[2] Batch[88] Train-rmse=0.521147
Iter[2] Batch[90] Train-rmse=0.521199
Start training...
Iter[0] Batch[0] Train-rmse=0.635687
Iter[0] Batch[2] Train-rmse=0.633000
Iter[0] Batch[4] Train-rmse=0.623270
Iter[0] Batch[6] Train-rmse=0.620474
Iter[0] Batch[8] Train-rmse=0.614428
Iter[0] Batch[10] Train-rmse=0.611898
Iter[0] Batch[12] Train-rmse=0.609673
Iter[0] Batch[14] Train-rmse=0.608047
Iter[0] Batch[16] Train-rmse=0.605458
Iter[0] Batch[18] Train-rmse=0.604180
Iter[0] Batch[20] Train-rmse=0.602346
Iter[0] Batch[22] Train-rmse=0.600383
Iter[0] Batch[24] Train-rmse=0.596515
Iter[0] Batch[26] Train-rmse=0.594986
Iter[0] Batch[28] Train-rmse=0.593690
Iter[0] Batch[30] Train-rmse=0.591175
Iter[0] Batch[32] Train-rmse=0.588986
Iter[0] Batch[34] Train-rmse=0.587852
Iter[0] Batch[36] Train-rmse=0.585474
Iter[0] Batch[38] Train-rmse=0.584650
Iter[0] Batch[40] Train-rmse=0.583661
Iter[0] Batch[42] Train-rmse=0.582921
Iter[0] Batch[44] Train-rmse=0.581440
Iter[0] Batch[46] Train-rmse=0.580448
Iter[0] Batch[48] Train-rmse=0.579168
Epoch[0] Train-rmse=0.579168
Epoch[0] Time cost=260.183
Saved checkpoint to "unet-0001.params"
Epoch[0] Validation-rmse=0.528933
Iter[1] Batch[0] Train-rmse=0.557703
Iter[1] Batch[2] Train-rmse=0.560994
Iter[1] Batch[4] Train-rmse=0.553326
Iter[1] Batch[6] Train-rmse=0.550578
Iter[1] Batch[8] Train-rmse=0.549260
Iter[1] Batch[10] Train-rmse=0.546852
Iter[1] Batch[12] Train-rmse=0.547771
Iter[1] Batch[14] Train-rmse=0.548308
Iter[1] Batch[16] Train-rmse=0.548208
Iter[1] Batch[18] Train-rmse=0.548516
Iter[1] Batch[20] Train-rmse=0.548135
Iter[1] Batch[22] Train-rmse=0.548381
Iter[1] Batch[24] Train-rmse=0.549425
Iter[1] Batch[26] Train-rmse=0.549273
Iter[1] Batch[28] Train-rmse=0.548219
Iter[1] Batch[30] Train-rmse=0.547786
Iter[1] Batch[32] Train-rmse=0.547347
Iter[1] Batch[34] Train-rmse=0.546869
Iter[1] Batch[36] Train-rmse=0.547477
Iter[1] Batch[38] Train-rmse=0.547674
Iter[1] Batch[40] Train-rmse=0.547626
Iter[1] Batch[42] Train-rmse=0.547310
Iter[1] Batch[44] Train-rmse=0.546689
Iter[1] Batch[46] Train-rmse=0.546244
Iter[1] Batch[48] Train-rmse=0.545573
Epoch[1] Train-rmse=0.545573
Epoch[1] Time cost=259.753
Saved checkpoint to "unet-0002.params"
Epoch[1] Validation-rmse=0.526677
Iter[2] Batch[0] Train-rmse=0.542697
Iter[2] Batch[2] Train-rmse=0.543234
Iter[2] Batch[4] Train-rmse=0.540615
Iter[2] Batch[6] Train-rmse=0.542099
Iter[2] Batch[8] Train-rmse=0.540227
Iter[2] Batch[10] Train-rmse=0.542233
Iter[2] Batch[12] Train-rmse=0.540467
Iter[2] Batch[14] Train-rmse=0.540094
Iter[2] Batch[16] Train-rmse=0.539581
Iter[2] Batch[18] Train-rmse=0.539267
Iter[2] Batch[20] Train-rmse=0.538753
Iter[2] Batch[22] Train-rmse=0.538523
Iter[2] Batch[24] Train-rmse=0.538730
Iter[2] Batch[26] Train-rmse=0.538300
Iter[2] Batch[28] Train-rmse=0.538303
Iter[2] Batch[30] Train-rmse=0.538534
Iter[2] Batch[32] Train-rmse=0.538019
Iter[2] Batch[34] Train-rmse=0.538037
Iter[2] Batch[36] Train-rmse=0.537660
Iter[2] Batch[38] Train-rmse=0.537713
Iter[2] Batch[40] Train-rmse=0.537735
Iter[2] Batch[42] Train-rmse=0.537342
Iter[2] Batch[44] Train-rmse=0.537318
Iter[2] Batch[46] Train-rmse=0.537102
Iter[2] Batch[48] Train-rmse=0.537151
Epoch[2] Train-rmse=0.537151
Epoch[2] Time cost=257.353
Saved checkpoint to "unet-0003.params"
Epoch[2] Validation-rmse=0.529999
Iter[3] Batch[0] Train-rmse=0.533822
Iter[3] Batch[2] Train-rmse=0.532192
Iter[3] Batch[4] Train-rmse=0.532254
Iter[3] Batch[6] Train-rmse=0.534132
Iter[3] Batch[8] Train-rmse=0.534018
Iter[3] Batch[10] Train-rmse=0.532893
Iter[3] Batch[12] Train-rmse=0.533239
Iter[3] Batch[14] Train-rmse=0.533431
Iter[3] Batch[16] Train-rmse=0.532579
Iter[3] Batch[18] Train-rmse=0.532146
Iter[3] Batch[20] Train-rmse=0.532588
Iter[3] Batch[22] Train-rmse=0.532128
Iter[3] Batch[24] Train-rmse=0.531327
Iter[3] Batch[26] Train-rmse=0.531036
Iter[3] Batch[28] Train-rmse=0.530941
Iter[3] Batch[30] Train-rmse=0.530540
Iter[3] Batch[32] Train-rmse=0.529798
Iter[3] Batch[34] Train-rmse=0.530352
Iter[3] Batch[36] Train-rmse=0.530616
Iter[3] Batch[38] Train-rmse=0.530953
